line_id,bias_code,title,key_move_uci,editorial_our_simplicity_1_5,editorial_learning_longevity_1_5,our_playability_editorial_0_100,learning_longevity_editorial_0_100,engine_max_loss_cp,engine_safety_0_100,maia_human_error_proxy_0_100,maia_cross_elo_floor_0_100,maia_response_entropy_0_100,lichess_surprise_0_100,lichess_response_entropy_0_100,empirical_max_position_sample,lichess_human_error_rate_0_100,empirical_cross_elo_floor_0_100,evidence_completeness_0_100,practical_edge_score_0_100,promotion_status
LON-01,B3,La dame blanche s’échange : ...c4!,a7b6,5,5,100,100,23,65.5,52.466303014199276,40.61979339042028,95.44995025501821,0.0,22.957395851362236,3.0,0.0,0.0,100,49.24494545212989,ELIGIBLE_FOR_EDITORIAL_REVIEW
LON-03,B3,La finale asymétrique : le plan ...b5,b6b5,4,5,80,100,39,41.5,59.58418900351471,40.61979339042028,95.44995025501821,50.0,0.0,2.0,0.0,0.0,100,46.312628350527206,ELIGIBLE_FOR_EDITORIAL_REVIEW
LON-05,B3,Qc1 et reprise par le pion c,c8f5,4,5,80,100,17,74.5,91.06676508017185,78.86832551398865,93.07994582356608,,,,,,65,,INSUFFICIENT_EVIDENCE
JOB-11,B3,4.Bxb8 : reprendre avec la tour,a8b8,4,5,80,100,22,67.0,49.714846970619625,4.462181463290549,26.26852521806008,,,,,,65,,INSUFFICIENT_EVIDENCE
VER-05,B3,4.Bxf6 : reprendre du pion g,g7f6,3,5,60,100,129,0.0,4.4909887617510025,2.975460291357234,26.26852521806008,,,,,,65,,INSUFFICIENT_EVIDENCE
LON-10,B4,Le pion c5 “gratuit” : ...Qxb2!,b2c3,4,4,80,80,121,0.0,100.0,100.0,0.0,,,,,,65,,INSUFFICIENT_EVIDENCE
LON-11,B4,Nbd2 laisse b2 : la route de sortie ...Qxc3,b2c3,3,4,60,80,25,62.5,100.0,100.0,0.0,,,,,,65,,INSUFFICIENT_EVIDENCE
LON-12,B4,Bd3 oublie b2,b2c3,5,4,100,80,14,79.0,100.0,100.0,0.0,,,,,,65,,INSUFFICIENT_EVIDENCE
LON-15,B4,Qa4 ne sauve pas b2 : ...Qxb2,b6b2,4,5,80,100,63,5.5,100.0,100.0,0.0,,,,,,65,,INSUFFICIENT_EVIDENCE
PST-04,B4,3.Bxh6? : accepter le sacrifice,h8h6,5,4,100,80,17,74.5,17.220112788157575,1.455982190615508,31.24563315104763,,,,,,65,,INSUFFICIENT_EVIDENCE
LON-06,B5,Qc2 : poser la question avec ...Nh5,h2g3,5,5,100,100,20,70.0,,,,,,,,,45,,INSUFFICIENT_EVIDENCE
LON-07,B5,Le fou se cache en g5 : ...h6 et ...g5,g7g5,4,4,80,80,27,59.5,100.0,100.0,95.44995025501821,,,,,,65,,INSUFFICIENT_EVIDENCE
TOR-02,B5,4.Bh4 : le coup machine ...h5!,h7h5,4,4,80,80,16,76.0,78.57711859011718,64.89456733741483,87.77400605907019,,,,,,65,,INSUFFICIENT_EVIDENCE
TOR-05,B5,4.h4 : ignorer l’intimidation,c7c5,5,5,100,100,37,44.5,34.52776828088403,26.137457779185226,87.77400605907019,,,,,,65,,INSUFFICIENT_EVIDENCE
PST-01,B5,2.Bg5 : demander au fou avec ...h6,c7c5,5,5,100,100,21,68.5,94.06567034329237,91.40174094807672,31.24563315104763,100.0,,3.0,,,80,,ELIGIBLE_FOR_EDITORIAL_REVIEW
ORD-09,B6,h4 précoce : riposter au centre,b8d7,5,5,100,100,25,62.5,100.0,100.0,25.516611566375808,,,,,,65,,INSUFFICIENT_EVIDENCE
TOR-08,B6,4.e3 : le coup concret ...f6,f7f6,4,4,80,80,133,0.0,100.0,100.0,85.11853343430319,,,,,,65,,INSUFFICIENT_EVIDENCE
TOR-09,B6,Bh4-h5-f6 : échanger puis enfermer,g7g5,3,5,60,100,85,0.0,93.20313354973814,59.21880129842887,87.84966771743366,,,,,,65,,INSUFFICIENT_EVIDENCE
STO-01,B6,Stonewall : fermer par ...c4!,c8f5,5,5,100,100,93,0.0,28.69985784095808,17.927439426003218,85.93850261009844,,,,,,65,,INSUFFICIENT_EVIDENCE
BDG-01,B6,Blackmar-Diemer : accepter avec ...exf3,c8f5,5,5,100,100,28,58.0,100.0,100.0,95.44995025501821,100.0,,9.0,,,80,,ELIGIBLE_FOR_EDITORIAL_REVIEW
ORD-10,B7,h3 précoce : prendre l’initiative,d8b6,5,5,100,100,35,47.5,98.03450425100868,97.16888476185073,25.516611566375808,,,,,,65,,INSUFFICIENT_EVIDENCE
JOB-06,B7,4.f3 : ouvrir d4 avant l’attaque,b8c6,5,4,100,80,131,0.0,100.0,100.0,18.771481063054548,,,,,,65,,INSUFFICIENT_EVIDENCE
JOB-09,B7,4.a3 : un tempo décoratif,b8c6,5,4,100,80,50,25.0,100.0,100.0,25.603061192152342,,,,,,65,,INSUFFICIENT_EVIDENCE
JOB-10,B7,4.h4 : même sanction centrale,b8c6,5,5,100,100,73,0.0,100.0,100.0,25.603061192152342,,,,,,65,,INSUFFICIENT_EVIDENCE
VER-08,B7,4.f3 : ouvrir avant e4,b8c6,5,5,100,100,176,0.0,100.0,100.0,18.771481063054548,,,,,,65,,INSUFFICIENT_EVIDENCE
JOB-03,B8,4.dxc5 : la poussée machine ...d4!,d5d4,5,5,100,100,53,20.5,100.0,100.0,25.603061192152342,100.0,,1.0,,,80,,ELIGIBLE_FOR_EDITORIAL_REVIEW
JOB-04,B8,4.Nb5 : l’échec qui casse le schéma,d8a5,5,5,100,100,19,71.5,100.0,100.0,0.0,100.0,,1.0,,,80,,ELIGIBLE_FOR_EDITORIAL_REVIEW
JOB-13,B8,Le double motif : clouage puis ...Qa5+,d8a5,3,5,60,100,66,1.0,100.0,100.0,0.0,,,,,,65,,INSUFFICIENT_EVIDENCE
TOR-06,B8,4.Nbd2 : prendre le fou,e7e5,5,5,100,100,42,37.0,100.0,100.0,26.481343569959776,100.0,,1.0,,,80,,ELIGIBLE_FOR_EDITORIAL_REVIEW
VER-03,B8,4.dxc5 : encore ...d4!,d5d4,5,5,100,100,57,14.5,100.0,100.0,26.26852521806008,,,,,,65,,INSUFFICIENT_EVIDENCE
