line_id,bias_code,title,engine_safety_0_100,maia_best_defence_rarity_0_100,maia_response_entropy_0_100,lichess_surprise_0_100,lichess_human_error_rate_0_100,cross_elo_robustness_0_100,our_playability_editorial_0_100,learning_longevity_editorial_0_100,evidence_completeness_0_100,promotion_status,notes
ORD-09,B6,h4 précoce : riposter au centre,,,,,,,100,100,20,CORE_RC1,Aucun score composite final avant Stockfish V1 + Maia-3 + Lichess hors échantillon.
TOR-08,B6,4.e3 : le coup concret ...f6,,,,,,,80,80,20,CORE_RC1,Aucun score composite final avant Stockfish V1 + Maia-3 + Lichess hors échantillon.
TOR-09,B6,Bh4-h5-f6 : échanger puis enfermer,,,,,,,60,100,20,CORE_RC1,Aucun score composite final avant Stockfish V1 + Maia-3 + Lichess hors échantillon.
STO-01,B6,Stonewall : fermer par ...c4!,,,,,,,100,100,20,CORE_RC1,Aucun score composite final avant Stockfish V1 + Maia-3 + Lichess hors échantillon.
BDG-01,B6,Blackmar-Diemer : accepter avec ...exf3,,,,,,,100,100,20,CORE_RC1,Aucun score composite final avant Stockfish V1 + Maia-3 + Lichess hors échantillon.
ORD-10,B7,h3 précoce : prendre l’initiative,,,,,,,100,100,20,CORE_RC1,Aucun score composite final avant Stockfish V1 + Maia-3 + Lichess hors échantillon.
JOB-06,B7,4.f3 : ouvrir d4 avant l’attaque,,,,,,,100,80,20,CORE_RC1,Aucun score composite final avant Stockfish V1 + Maia-3 + Lichess hors échantillon.
JOB-09,B7,4.a3 : un tempo décoratif,,,,,,,100,80,20,CORE_RC1,Aucun score composite final avant Stockfish V1 + Maia-3 + Lichess hors échantillon.
JOB-10,B7,4.h4 : même sanction centrale,,,,,,,100,100,20,CORE_RC1,Aucun score composite final avant Stockfish V1 + Maia-3 + Lichess hors échantillon.
VER-08,B7,4.f3 : ouvrir avant e4,,,,,,,100,100,20,CORE_RC1,Aucun score composite final avant Stockfish V1 + Maia-3 + Lichess hors échantillon.
JOB-03,B8,4.dxc5 : la poussée machine ...d4!,,,,,,,100,100,20,CORE_RC1,Aucun score composite final avant Stockfish V1 + Maia-3 + Lichess hors échantillon.
JOB-04,B8,4.Nb5 : l’échec qui casse le schéma,,,,,,,100,100,20,CORE_RC1,Aucun score composite final avant Stockfish V1 + Maia-3 + Lichess hors échantillon.
JOB-13,B8,Le double motif : clouage puis ...Qa5+,,,,,,,60,100,20,CORE_RC1,Aucun score composite final avant Stockfish V1 + Maia-3 + Lichess hors échantillon.
TOR-06,B8,4.Nbd2 : prendre le fou,,,,,,,100,100,20,CORE_RC1,Aucun score composite final avant Stockfish V1 + Maia-3 + Lichess hors échantillon.
VER-03,B8,4.dxc5 : encore ...d4!,,,,,,,100,100,20,CORE_RC1,Aucun score composite final avant Stockfish V1 + Maia-3 + Lichess hors échantillon.
