line_id,original_engine_gate,key_move_gate,failure_type,maia_status,lichess_exact_position_status,concept_family_id,concept_family_title,decision,decision_reason,candidate_replacement_id,candidate_core_priority
JOB-11,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,JOBAVA_CENTER_BREAK,Jobava : rupture centrale et cases noires,KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
VER-05,REJECT,PASS,LATER_CONTINUATION_REJECT,NON_EXECUTE,NON_EXECUTE,VERESOV_CENTER_BREAK,Veresov : rupture centrale et développement sobre,SIDELINE_ONLY,"Le concept du coup-clé tient, mais la suite doit être réparée avant MoveTrainer central.",VER-05-R1,B
LON-10,REJECT,PASS,LATER_CONTINUATION_REJECT,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,"Londres : ...Qb6, d4 et b2 sous pression",SIDELINE_ONLY,"Le concept du coup-clé tient, mais la suite doit être réparée avant MoveTrainer central.",LON-10-R1,B
LON-11,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,"Londres : ...Qb6, d4 et b2 sous pression",KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
LON-12,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,"Londres : ...Qb6, d4 et b2 sous pression",KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
LON-15,REJECT,PASS,LATER_CONTINUATION_REJECT,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,"Londres : ...Qb6, d4 et b2 sous pression",SIDELINE_ONLY,"Le concept du coup-clé tient, mais la suite doit être réparée avant MoveTrainer central.",LON-15-R1,B
PST-04,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,SECONDARY_SYSTEM_CENTER_RESPONSE,Systèmes secondaires : répondre au centre,KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
LON-06,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,"Londres : ...Qb6, d4 et b2 sous pression",KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
LON-07,REVIEW,PASS,LATER_CONTINUATION_REVIEW,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,"Londres : ...Qb6, d4 et b2 sous pression",KEEP_CORE,Défaut ultérieur modéré; concept transférable si la continuation est clarifiée.,LON-07-R1,A
TOR-02,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,TORRE_E4_BISHOP_PRESSURE,Torre : pression sur e4 et question au fou,KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
TOR-05,REVIEW,PASS,LATER_CONTINUATION_REVIEW,NON_EXECUTE,NON_EXECUTE,TORRE_E4_BISHOP_PRESSURE,Torre : pression sur e4 et question au fou,KEEP_CORE,Défaut ultérieur modéré; concept transférable si la continuation est clarifiée.,TOR-05-R1,A
PST-01,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,SECONDARY_SYSTEM_CENTER_RESPONSE,Systèmes secondaires : répondre au centre,KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
ORD-09,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,Londres : ordres de coups et double pression,KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
TOR-08,REJECT,PASS,LATER_CONTINUATION_REJECT,NON_EXECUTE,NON_EXECUTE,TORRE_E4_BISHOP_PRESSURE,Torre : pression sur e4 et question au fou,SIDELINE_ONLY,"Le concept du coup-clé tient, mais la suite doit être réparée avant MoveTrainer central.",TOR-08-R1,B
TOR-09,REJECT,PASS,LATER_CONTINUATION_REJECT,NON_EXECUTE,NON_EXECUTE,TORRE_E4_BISHOP_PRESSURE,Torre : pression sur e4 et question au fou,SIDELINE_ONLY,"Le concept du coup-clé tient, mais la suite doit être réparée avant MoveTrainer central.",TOR-09-R1,B
STO-01,REJECT,PASS,LATER_CONTINUATION_REJECT,NON_EXECUTE,NON_EXECUTE,SECONDARY_SYSTEM_CENTER_RESPONSE,Systèmes secondaires : répondre au centre,SIDELINE_ONLY,"Le concept du coup-clé tient, mais la suite doit être réparée avant MoveTrainer central.",STO-01-R1,B
BDG-01,REVIEW,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,VERESOV_CENTER_BREAK,Gambit/Veresov : accepter ou rendre au bon moment,KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
ORD-10,REVIEW,PASS,LATER_CONTINUATION_REVIEW,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,Londres : ordres de coups et double pression,KEEP_CORE,Défaut ultérieur modéré; concept transférable si la continuation est clarifiée.,ORD-10-R1,A
JOB-06,REJECT,PASS,LATER_CONTINUATION_REJECT,NON_EXECUTE,NON_EXECUTE,JOBAVA_CENTER_BREAK,Jobava : rupture centrale et cases noires,SIDELINE_ONLY,"Le concept du coup-clé tient, mais la suite doit être réparée avant MoveTrainer central.",JOB-06-R1,B
JOB-09,REVIEW,PASS,LATER_CONTINUATION_REVIEW,NON_EXECUTE,NON_EXECUTE,JOBAVA_CENTER_BREAK,Jobava : rupture centrale et cases noires,KEEP_CORE,Défaut ultérieur modéré; concept transférable si la continuation est clarifiée.,JOB-09-R1,A
JOB-10,REJECT,PASS,LATER_CONTINUATION_REJECT,NON_EXECUTE,NON_EXECUTE,JOBAVA_CENTER_BREAK,Jobava : rupture centrale et cases noires,SIDELINE_ONLY,"Le concept du coup-clé tient, mais la suite doit être réparée avant MoveTrainer central.",JOB-10-R1,B
VER-08,REJECT,PASS,LATER_CONTINUATION_REJECT,NON_EXECUTE,NON_EXECUTE,VERESOV_CENTER_BREAK,Veresov : rupture centrale et développement sobre,SIDELINE_ONLY,"Le concept du coup-clé tient, mais la suite doit être réparée avant MoveTrainer central.",VER-08-R1,B
JOB-03,REJECT,PASS,LATER_CONTINUATION_REJECT,NON_EXECUTE,NON_EXECUTE,JOBAVA_CENTER_BREAK,Jobava : rupture centrale et cases noires,SIDELINE_ONLY,"Le concept du coup-clé tient, mais la suite doit être réparée avant MoveTrainer central.",JOB-03-R1,B
JOB-04,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,JOBAVA_CENTER_BREAK,Jobava : rupture centrale et cases noires,KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
JOB-13,REJECT,PASS,LATER_CONTINUATION_REJECT,NON_EXECUTE,NON_EXECUTE,JOBAVA_CENTER_BREAK,Jobava : rupture centrale et cases noires,SIDELINE_ONLY,"Le concept du coup-clé tient, mais la suite doit être réparée avant MoveTrainer central.",JOB-13-R1,B
TOR-06,REVIEW,PASS,LATER_CONTINUATION_REVIEW,NON_EXECUTE,NON_EXECUTE,TORRE_E4_BISHOP_PRESSURE,Torre : pression sur e4 et question au fou,KEEP_CORE,Défaut ultérieur modéré; concept transférable si la continuation est clarifiée.,TOR-06-R1,A
VER-03,REJECT,PASS,LATER_CONTINUATION_REJECT,NON_EXECUTE,NON_EXECUTE,VERESOV_CENTER_BREAK,Veresov : rupture centrale et développement sobre,SIDELINE_ONLY,"Le concept du coup-clé tient, mais la suite doit être réparée avant MoveTrainer central.",VER-03-R1,B
