line_id,chapter,title,tier,role_v1,bias_code_v1,bias_title_v1,legacy_engine_grade,legacy_engine_max_loss_cp
COL-06,Colle et Zukertort,4.Be2 : développement sans concession,Essentiel,BIBLIOTHEQUE_48_A_REEVALUER,,,A,21
COL-07,Colle et Zukertort,4.c3 : ...Nbd7 et contrôle de e5,Essentiel,BIBLIOTHEQUE_48_A_REEVALUER,,,A,21
COL-08,Colle et Zukertort,4.Nh4 : conserver le fou par ...Bg4,Club,BIBLIOTHEQUE_48_A_REEVALUER,,,A,21
COL-09,Colle et Zukertort,"4.Nc3 : ...c6, puis ...e6",Club,BIBLIOTHEQUE_48_A_REEVALUER,,,A,21
COL-10,Colle et Zukertort,Zukertort : frapper par ...c5,Essentiel,CORE_40,B1,Pilotage automatique,A,1
COL-11,Colle et Zukertort,Zukertort avec c4 : isoler d4,Club,BIBLIOTHEQUE_48_A_REEVALUER,,,A,1
COL-12,Colle et Zukertort,Zukertort calme : clarifier au centre,Club,BIBLIOTHEQUE_48_A_REEVALUER,,,A,1
TOR-01,Torre,3...Ne4! : occuper la case que le fou a quittée,Essentiel,BIBLIOTHEQUE_48_A_REEVALUER,,,A,11
TOR-02,Torre,4.Bh4 : le coup machine ...h5!,Club,CORE_40,B5,Peur et sur-réaction,A,11
TOR-03,Torre,4.Be3 : développement actif ...Bf5,Essentiel,BIBLIOTHEQUE_48_A_REEVALUER,,,A,11
TOR-04,Torre,4.Bd2 : ...c5 et pression centrale,Essentiel,BIBLIOTHEQUE_48_A_REEVALUER,,,A,11
TOR-05,Torre,4.h4 : ignorer l’intimidation,Club,CORE_40,B5,Peur et sur-réaction,A,11
TOR-06,Torre,4.Nbd2 : prendre le fou,Essentiel,CORE_40,B8,Géométrie tactique machine-humanisée,A,0
TOR-07,Torre,4.c4 : éliminer le fou puis jouer ...e5,Club,BIBLIOTHEQUE_48_A_REEVALUER,,,A,0
TOR-08,Torre,4.e3 : le coup concret ...f6,Club,CORE_40,B6,Règles rigides,A,11
TOR-09,Torre,Bh4-h5-f6 : échanger puis enfermer,Avancé,CORE_40,B6,Règles rigides,A,0
TOR-10,Torre,Bf4 puis ...Qb6 : double pression,Avancé,CORE_40,B2,Double cible et surcharge,A,3
VER-01,Veresov et pseudo-Trompowsky,3...c5 : attaquer d4 immédiatement,Essentiel,CORE_40,B1,Pilotage automatique,A,0
VER-02,Veresov et pseudo-Trompowsky,4.e4 : le centre tactique ...Nxe4,Club,BIBLIOTHEQUE_48_A_REEVALUER,,,A,0
VER-03,Veresov et pseudo-Trompowsky,4.dxc5 : encore ...d4!,Essentiel,CORE_40,B8,Géométrie tactique machine-humanisée,A,0
VER-04,Veresov et pseudo-Trompowsky,4.Nf3 : l’avant-poste ...Ne4,Club,BIBLIOTHEQUE_48_A_REEVALUER,,,A,0
VER-05,Veresov et pseudo-Trompowsky,4.Bxf6 : reprendre du pion g,Club,CORE_40,B3,Simplification trompeuse,A,0
VER-06,Veresov et pseudo-Trompowsky,4.Qd2 : clarifier d4,Club,BIBLIOTHEQUE_48_A_REEVALUER,,,A,9
VER-07,Veresov et pseudo-Trompowsky,4.a3 : développement avant tout,Essentiel,BIBLIOTHEQUE_48_A_REEVALUER,,,A,4
VER-08,Veresov et pseudo-Trompowsky,4.f3 : ouvrir avant e4,Essentiel,CORE_40,B7,Attaque d’aile avant le centre,A,0
PST-01,Veresov et pseudo-Trompowsky,2.Bg5 : demander au fou avec ...h6,Essentiel,CORE_40,B5,Peur et sur-réaction,A,23
PST-02,Veresov et pseudo-Trompowsky,3.Bf4 : ...c5 et gain de temps,Essentiel,BIBLIOTHEQUE_48_A_REEVALUER,,,A,23
PST-03,Veresov et pseudo-Trompowsky,3.Be3 : ...c5 et pression simple,Club,BIBLIOTHEQUE_48_A_REEVALUER,,,A,23
PST-04,Veresov et pseudo-Trompowsky,3.Bxh6? : accepter le sacrifice,Essentiel,CORE_40,B4,Le pion prétendument gratuit,A,23
STO-01,Stonewall et gambits,Stonewall : fermer par ...c4!,Essentiel,CORE_40,B6,Règles rigides,A,6
STO-02,Stonewall et gambits,Le fou recule en f1 : développement gratuit,Club,BIBLIOTHEQUE_48_A_REEVALUER,,,A,6
STO-03,Stonewall et gambits,Ordre c3-f4 : clouage ...Bg4,Club,BIBLIOTHEQUE_48_A_REEVALUER,,,A,0
STO-04,Stonewall et gambits,"Même structure, autre développement : ...Nc6",Essentiel,BIBLIOTHEQUE_48_A_REEVALUER,,,A,8
STO-05,Stonewall et gambits,2.f4 : frapper par ...c5,Club,BIBLIOTHEQUE_48_A_REEVALUER,,,A,3
BDG-01,Stonewall et gambits,Blackmar-Diemer : accepter avec ...exf3,Essentiel,CORE_40,B6,Règles rigides,A,10
BDG-02,Stonewall et gambits,Développement fianchetto : ...g6,Club,BIBLIOTHEQUE_48_A_REEVALUER,,,A,0
BDG-03,Stonewall et gambits,5.Qxf3? : la dame noire prend d4,Essentiel,BIBLIOTHEQUE_48_A_REEVALUER,,,A,0
BDG-04,Stonewall et gambits,6.Bc4 : consolider avec ...e6,Club,BIBLIOTHEQUE_48_A_REEVALUER,,,A,10
BDG-05,Stonewall et gambits,6.Bg5 : le frein ...c6,Avancé,BIBLIOTHEQUE_48_A_REEVALUER,,,A,10
