id,chapter,title,tier,type,fixed_prefix,concept,human_problem,black_plan,memory_rule,surprise_editorial_1_5,opponent_burden_editorial_1_5,our_simplicity_editorial_1_5,learning_longevity_editorial_1_5,human_pressure_editorial_mean_1_5,engine_worst_grade_fixed_moves,engine_max_loss_cp_fixed_moves,validation_humaine
LON-14,Londres — noyau ...Qb6,Be2 et reprise exd4 : b2 reste vulnérable,Club,structure,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Be2 cxd4 7. exd4 Qxb2,Clarifier le centre puis constater que b2 reste insuffisamment défendu.,"Be2 et exd4 paraissent consolider la position, mais la dame blanche ne protège toujours pas b2.","Après ...Qxb2, utiliser c3 comme voie de sortie puis terminer le développement.",Ouvrir le centre peut aussi ouvrir une route de fuite à la dame noire.,2,3,5,5,3.75,B,36,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-15,Londres — noyau ...Qb6,Qa4 ne sauve pas b2 : ...Qxb2,Avancé,critique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qa4 Qxb2,Vérifier concrètement la cible b2 au lieu de répondre automatiquement au pseudo-clouage.,"Qa4 donne une impression d’activité, mais la dame blanche ne protège toujours pas son aile-dame.","Après ...Qxb2, préparer ...Bd7 ou ...a6 et identifier la sortie avant Rb1.",Une dame active ne protège pas automatiquement les pions qu’elle a quittés.,4,4,4,5,4.25,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-16,Londres — avant c3,Nbd2 précoce : clarifier d4,Club,critique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. Nbd2 cxd4 6. exd4 Bf5,Profiter de l’absence de c3 pour obtenir une colonne c immédiatement.,Nbd2 protège e4 mais gêne la dame et laisse d4 devenir une cible claire.,"Mettre une tour en c8, jouer ...e6 et surveiller Nb4.","Sans c3, la colonne c s’ouvre plus vite.",2,3,5,5,3.75,B,28,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-17,Londres — avant c3,Prise précoce en c5 : récupérer sans perdre le centre,Club,critique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. dxc5 e6,Refuser la chasse au pion et développer avec gain de temps sur c5.,Les Blancs pensent avoir gagné un pion ; en réalité ils déplacent le fou ou la dame pour le défendre.,Reprendre c5 avec le fou et profiter de la diagonale.,Un pion d’aile ne vaut pas un retard de développement au centre.,2,3,5,5,3.75,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-18,Londres — avant c3,Be2 sans c3 : ...Qb6 garde la pression,Club,structure,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. Be2 Qb6,Conserver la menace sur b2 tout en empêchant un développement sans questions.,Le roque rapide ne résout pas la fragilité de b2.,"Après Qc1 ou b3, choisir entre ...Bf5 et ...cxd4.",Roquer ne défend pas b2.,3,3,5,5,4.0,B,42,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
ORD-01,Londres — ordres de coups,2.Bf4 : ...c5 puis le clouage ...Bg4,Essentiel,critique,1. d4 d5 2. Bf4 c5 3. e3 Nc6 4. Nf3 Bg4,Frapper le centre puis développer avec un clouage avant de sortir la dame.,"Sans c3, la dame noire n’a pas besoin de sortir tôt ; le clouage ralentit le développement naturel.","Après Be2, choisir entre ...Bxe2 et ...e6 ; après h3, décider Bh5 ou Bf5.","Sans c3, développe d’abord ; avec c3, ...Qb6 devient plus fort.",4,4,5,5,4.5,A,19,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
ORD-02,Londres — ordres de coups,2.Bf4 et 3.c3 : revenir au plan ...Nc6,Essentiel,structure,1. d4 d5 2. Bf4 c5 3. c3 Nc6 4. e3 Nf6 5. Nf3 Qb6,Retrouver le noyau du répertoire par transposition.,c3 semble sécuriser d4 mais retire la meilleure case au cavalier b1.,Attaquer b2 et d4 ; utiliser ...Bf5 si la dame recule.,c3 protège d4 une fois et affaiblit b2 pour longtemps.,3,3,5,5,4.0,A,19,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
ORD-03,Londres — ordres de coups,Le pseudo-gambit 3.e4 : accepter le centre,Club,critique,1. d4 d5 2. Bf4 c5 3. e4 dxe4 4. d5 Nf6,Ne pas confondre agressivité visuelle et compensation réelle.,e4 cherche à surprendre un joueur qui applique mécaniquement ...Nc6.,"Développer, rendre le pion si nécessaire et viser d5/e4.","Contre e4 sans préparation, prends d’abord et pose les questions ensuite.",4,4,4,4,4.0,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
ORD-04,Londres — ordres de coups,"2.Bf4, prise en c5 : ...e6",Club,critique,1. d4 d5 2. Bf4 c5 3. dxc5 e6,Gagner du développement en attaquant le pion avancé.,La prise donne l’impression de gagner un pion mais abandonne le contrôle de e5.,Reprendre avec le fou et roquer rapidement.,Le pion c5 sert de crochet de développement aux Noirs.,2,3,5,5,3.75,A,2,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
ORD-05,Londres — ordres de coups,4.c3 avant e3 : même ...Nc6,Essentiel,structure,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. c3 Nc6 5. e3 Qb6,Montrer que l’ordre blanc ne change pas le plan noir.,Les Blancs cherchent à éviter une ligne connue par simple permutation.,Revenir au dilemme b2-d4.,"Reconnais la structure, pas l’ordre des coups.",2,2,5,5,3.5,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
ORD-06,Londres — ordres de coups,4.Nbd2 : ...cxd4 puis ...Nbd7,Club,pratique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. Nbd2 cxd4 5. Nxd4 Nbd7,Développer sans précipiter la chasse au fou et préparer ...e5.,Le cavalier d4 paraît actif ; ...Nbd7 construit e5 tout en gardant la position saine.,"Jouer ...e5 lorsque la tactique le permet, sinon ...e6 et ...Bd6.",Ne chasse pas le fou avant d’avoir terminé le développement nécessaire.,3,4,4,4,3.75,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
ORD-07,Londres — ordres de coups,4.dxc5 : développement avant récupération,Club,critique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. dxc5 Nc6 5. e3 e6,Développer les deux pièces qui attaquent c5 avant de reprendre.,Les Blancs espèrent que la récupération du pion coûtera plusieurs tempos.,"Reprendre Bxc5, puis roquer ; ne pas déplacer la dame sans raison.",Attaque le pion avec des pièces que tu voulais développer de toute façon.,2,3,5,5,3.75,B,42,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
ORD-08,Londres — ordres de coups,...Qb6 avant ...Nc6 : savoir refuser ...Qxb2,Avancé,critique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Qb6 5. Nc3 a6,Distinguer pression et gourmandise : la menace sur b2 n’oblige pas à prendre.,"Nc3 laisse b2 attaqué, mais rend ici les voies de sortie de la dame noire moins fiables.","Jouer ...a6 pour préparer ...Bf5, ...c4 ou ...e6 et garder la tension.",Une menace utile peut forcer une concession sans jamais être exécutée.,5,5,3,3,4.0,B,46,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
ORD-09,Londres — ordres de coups,h4 précoce : riposter au centre,Club,structure,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. h4 cxd4 5. Nxd4 Nbd7,Répondre à une expansion d’aile par une pression centrale immédiate.,"h4 cherche à intimider, mais ne développe rien et ne défend pas b2.",Ne pas lancer une contre-attaque de pions ; finir le développement et viser d4.,Une attaque d’aile prématurée se punit au centre.,4,4,5,5,4.5,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
ORD-10,Londres — ordres de coups,h3 précoce : prendre l’initiative,Essentiel,structure,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. h3 cxd4 5. Nxd4 Qb6,Capitaliser sur un tempo prophylactique qui ne répond à aucune menace réelle.,h3 est joué par habitude pour offrir h2 au fou.,"Attaquer b2, puis utiliser ...Bf5 ou ...cxd4.","Quand l’adversaire prépare une retraite, avance au centre.",3,3,5,5,4.0,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
ORD-11,Londres — ordres de coups,Le fou en g3 trop tôt : ...cxd4 puis ...Qb6,Club,structure,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. Bg3 cxd4 6. exd4 Qb6,Profiter du retrait du fou pour gagner le droit de développer librement.,Bg3 évite ...Nh5 à l’avance mais abandonne un tempo au centre.,"Jouer ...e6, ...Be7 et ...Rc8.",Un retrait préventif du fou vaut un tempo central.,2,2,5,5,3.5,A,2,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
ORD-12,Londres — ordres de coups,Le Londres sans Nf3 : ...Qb6 et ...e5,Avancé,critique,1. d4 d5 2. Bf4 c5 3. e3 Nc6 4. c3 Qb6 5. Qb3 c4,Utiliser l’absence du cavalier f3 pour gagner encore plus d’espace.,Les Blancs pensent que Qb3 force l’échange et simplifie.,"Après Qxb6 axb6, préparer ...b5 et éventuellement ...e5.","Sans Nf3, la rupture ...e5 arrive plus vite.",4,4,4,5,4.25,A,1,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
JOB-01,Jobava,4.e3 : le clouage utile ...Bg4,Essentiel,critique,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 Bg4,Développer avec une question concrète et ralentir l’idée Nb5.,Le Jobava compte sur un développement automatique suivi de Nb5.,"Après Be2, jouer ...Bxe2 ou ...e6 ; après f3, frapper en d4.","Avant de défendre c7, cloue la pièce qui doit attaquer.",3,3,5,5,4.0,A,19,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
JOB-02,Jobava,4.e3 cxd4 et l’échec ...Qa5+,Club,pratique,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. Nb5 Qa5+,Retourner la menace sur c7 par un échec intermédiaire.,"Nb5 est le geste emblématique du Jobava ; joué trop tôt, il oublie la diagonale a5-e1.","Après c3, prendre en c3 ou jouer ...Na6 selon la position.","Quand Nb5 vise c7, cherche toujours ...Qa5+.",5,5,4,5,4.75,B,37,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
JOB-03,Jobava,4.dxc5 : la poussée machine ...d4!,Essentiel,pratique,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. dxc5 d4,Gagner de l’espace et chasser le cavalier au lieu de récupérer immédiatement le pion.,Les Blancs attendent ...e6 ; ...d4 inverse la question et force une décision.,"Après Nb1, jouer ...e5 ; après Na4, préparer ...Qa5+.",Un pion pris sur l’aile peut être payé par un tempo au centre.,5,5,5,5,5.0,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
JOB-04,Jobava,4.Nb5 : l’échec qui casse le schéma,Essentiel,pratique,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Nb5 Qa5+,Exploiter immédiatement le cavalier éloigné et le roi au centre.,Le joueur connaît la menace Nc7+ mais oublie que son cavalier c3 ne peut plus bloquer Qa5+.,"Après Nc3, prendre d4 ou jouer ...Na6 selon la tactique.",Nb5 sans c3 disponible appelle ...Qa5+.,5,5,5,5,5.0,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
JOB-05,Jobava,4.e4 : enlever le centre avec ...Nxe4,Club,critique,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e4 Nxe4 5. Nxe4 dxe4,Accepter la clarification tactique et rendre le centre blanc instable.,"e4 paraît gagner de l’espace, mais le pion d4 ne peut tout soutenir.","Développer ...Nc6, ...Bf5 et récupérer c5/e4 selon la ligne.",Deux pions centraux ne sont forts que s’ils se protègent vraiment.,4,4,4,4,4.0,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
JOB-06,Jobava,4.f3 : ouvrir d4 avant l’attaque,Essentiel,pratique,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. f3 cxd4 5. Qxd4 Nc6,Punir une préparation lente de e4 en ouvrant le centre.,f3 affaiblit e3 et le roi tout en plaçant la dame blanche face aux tempos.,Développer ...e5 ou ...Bf5 avec tempo sur la dame.,"Quand f3 prépare e4, ouvre le centre avant e4.",5,5,5,4,4.75,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
JOB-07,Jobava,4.Qd2 : ...cxd4 force la dame à travailler,Club,pratique,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Qd2 cxd4 5. Nb5 Ne4,Gagner des tempos sur la dame et le cavalier en clarifiant d4.,Qd2 prépare le grand roque mais surcharge la dame.,Utiliser ...Na6 ou ...Qa5+ ; ne pas se précipiter sur c7.,Une dame qui prépare le roque devient une cible centrale.,4,5,4,4,4.25,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
JOB-08,Jobava,4.Nf3 : ...cxd4 puis ...Nbd7,Essentiel,structure,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Nf3 cxd4 5. Nxd4 Nbd7,Échanger au centre puis préparer ...e5 sans exposer le cavalier c6.,"Nf3 semble paisible ; après Nxd4, ...Nbd7 prépare une rupture centrale très concrète.","Jouer ...e5 ou ...e6 selon le placement du fou, puis développer ...Bb4.",Le subtil ...Nbd7 garde c6 libre et prépare ...e5.,2,3,5,5,3.75,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
JOB-09,Jobava,4.a3 : un tempo décoratif,Essentiel,pratique,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. a3 cxd4 5. Qxd4 Nc6,Ouvrir le centre avant que le coup utile e3 n’arrive.,a3 prépare b4 mais ne répond pas à la tension sur d4.,Développer avec tempo et viser e5.,Un coup d’aile sans menace offre un tempo au centre.,4,5,5,4,4.5,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
JOB-10,Jobava,4.h4 : même sanction centrale,Essentiel,pratique,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. h4 cxd4 5. Qxd4 Nc6,Montrer que l’agression visuelle n’empêche pas la rupture centrale.,h4 cherche une attaque avant que le roi noir ait choisi son aile.,Développer ...e5 avec tempo si possible et garder le roi flexible.,Ne réponds pas à h4 par h5 : réponds par le centre.,5,5,5,5,5.0,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
JOB-11,Jobava,4.Bxb8 : reprendre avec la tour,Club,structure,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Bxb8 Rxb8,Accepter une structure inhabituelle pour activer la tour sur la colonne b.,Les Blancs pensent abîmer la coordination noire en échangeant le fou contre le cavalier.,"Jouer ...a6, ...e6 et utiliser b2 comme cible de long terme.",Une tour développée gratuitement peut valoir plus que le droit de roquer côté dame.,4,3,4,5,4.0,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
JOB-12,Jobava,4.Nb1 : la pression ...Qb6,Club,pratique,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Nb1 Qb6,Punir le retrait du cavalier par une double attaque sur b2 et d4.,"Le cavalier recule pour éviter les tactiques, mais le développement blanc recommence à zéro.",Prendre b2 si les cases de sortie sont claires ; sinon développer ...Nc6.,Un retrait au premier rang autorise la dame à entrer.,5,5,4,4,4.5,A,5,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
JOB-13,Jobava,Le double motif : clouage puis ...Qa5+,Avancé,critique,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 Bg4 5. Be2 Bxe2 6. Ngxe2 Nc6 7. Nb5 Qa5+,Retirer le défenseur du centre avant d’utiliser l’échec a5.,"Les Blancs retrouvent Nb5, mais leur coordination a changé après l’échange en e2.",Calculer cxd4 et e5 ; ne pas défendre c7 passivement.,Le motif ...Qa5+ reste vivant tant que Nc3 ne peut interposer.,4,5,3,5,4.25,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
JOB-14,Jobava,Le plan complet après 4.dxc5 d4,Avancé,structure,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. dxc5 d4 5. Nb1 e5 6. Bxe5 Nc6,Sacrifier temporairement un pion central pour gagner développement et activité.,Les Blancs voient un deuxième pion à prendre mais leur fou devient une cible de tempo.,"Développer ...Qa5+, ...Bxc5 et récupérer le matériel avec initiative.","Après d4 et Nb1, chaque prise blanche doit être payée par un tempo noir.",5,5,3,5,4.5,A,1,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
COL-01,Colle et Zukertort,3.e3 : sortir le fou avec ...Bf5,Essentiel,critique,1. d4 d5 2. Nf3 Nf6 3. e3 Bf5 4. Bd3 e6,Développer le fou c8 avant de fermer sa diagonale.,Le Colle compte sur un Noir qui joue automatiquement ...e6 puis subit e4.,"Après Bxf5 exf5, utiliser la colonne e et contrôler e4.","Contre le Colle, le fou c8 sort avant le pion e.",3,3,5,5,4.0,A,21,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
COL-02,Colle et Zukertort,Éviter l’échange : ...Bg6,Club,structure,1. d4 d5 2. Nf3 Nf6 3. e3 Bf5 4. Bd3 Bg6,Conserver le fou tout en invitant Bxg6 et une colonne h utile.,Les Blancs pensent gagner la paire de fous ; la reprise h ouvre souvent une tour.,"Jouer ...e6, ...c6 et développer sans craindre e4.","L’échange en g6 ouvre une colonne, il ne crée pas automatiquement une faiblesse.",2,2,5,5,3.5,A,21,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
COL-03,Colle et Zukertort,4.c4 : structure solide avec ...c6,Club,critique,1. d4 d5 2. Nf3 Nf6 3. e3 Bf5 4. c4 c6,Transposer vers une structure slave saine où le fou est déjà bien placé.,"c4 veut sortir du Colle, mais les Noirs obtiennent une version confortable.","Jouer ...e6, ...Nbd7 et choisir ...Bd6 ou ...Be7.","Quand le Colle devient un gambit dame, garde le meilleur fou slave.",2,2,5,5,3.5,A,21,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
COL-04,Colle et Zukertort,4.b3 : ...e6 et ...c5,Essentiel,structure,1. d4 d5 2. Nf3 Nf6 3. e3 Bf5 4. b3 e6,Neutraliser le fou b2 par une chaîne centrale saine.,Le Zukertort vise une attaque lente sur le roi ; il faut prendre de l’espace avant qu’elle ne commence.,"Jouer ...c5, ...Nc6 et ...Bd6 ; échanger le fou d3 si utile.","Contre Bb2, occupe d5 et frappe c/e avant l’attaque de roi.",2,3,5,5,3.75,A,21,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
COL-05,Colle et Zukertort,4.Nbd2 : le plan naturel ...e6,Essentiel,critique,1. d4 d5 2. Nf3 Nf6 3. e3 Bf5 4. Nbd2 e6,Finir le développement sans offrir l’e4 gratuit.,"Nbd2 prépare e4, mais le fou f5 contrôle déjà e4.","Jouer ...c5, ...Bd6 et roquer ; échanger en d3 si l’attaque se forme.",Le meilleur antidote à e4 est un fou déjà en f5.,2,3,5,5,3.75,A,21,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
